,dt_reference,id_city_origin,id_city_destination,freight_cost,distance
348,20/05/2022,5107065.0,4118204.0,448.0,2018.58
349,27/05/2022,5107065.0,4118204.0,452.0,2018.58
350,10/06/2022,5107065.0,4118204.0,500.0,2018.58
351,24/06/2022,5107065.0,4118204.0,520.0,2018.58
352,01/07/2022,5107065.0,4118204.0,470.0,2018.58
353,08/07/2022,5107065.0,4118204.0,513.0,2018.58
354,15/07/2022,5107065.0,4118204.0,537.0,2018.58
355,22/07/2022,5107065.0,4118204.0,560.0,2018.58
356,29/07/2022,5107065.0,4118204.0,530.0,2018.58
357,05/08/2022,5107065.0,4118204.0,510.0,2018.58
358,09/09/2022,5107065.0,4118204.0,420.0,2018.58
359,23/09/2022,5107065.0,4118204.0,425.0,2018.58
360,04/11/2022,5107065.0,4118204.0,440.0,2018.58
361,20/01/2023,5107065.0,4118204.0,380.0,2018.58
362,12/05/2023,5107065.0,4118204.0,410.0,2018.58
363,19/05/2023,5107065.0,4118204.0,434.0,2018.58
364,02/06/2023,5107065.0,4118204.0,444.0,2018.58
365,30/06/2023,5107065.0,4118204.0,479.0,2018.58
366,21/07/2023,5107065.0,4118204.0,516.33,2018.58
367,28/07/2023,5107065.0,4118204.0,525.0,2018.58
368,04/08/2023,5107065.0,4118204.0,502.0,2018.58
369,25/08/2023,5107065.0,4118204.0,490.0,2018.58
370,08/09/2023,5107065.0,4118204.0,485.0,2018.58
371,15/09/2023,5107065.0,4118204.0,464.0,2018.58
372,22/09/2023,5107065.0,4118204.0,467.0,2018.58
373,06/10/2023,5107065.0,4118204.0,451.0,2018.58
374,20/10/2023,5107065.0,4118204.0,475.0,2018.58
375,10/11/2023,5107065.0,4118204.0,445.0,2018.58
376,24/11/2023,5107065.0,4118204.0,452.5,2018.58
377,08/12/2023,5107065.0,4118204.0,417.5,2018.58
378,22/12/2023,5107065.0,4118204.0,430.0,2018.58
379,28/12/2023,5107065.0,4118204.0,415.0,2018.58
380,12/01/2024,5107065.0,4118204.0,375.0,2018.58
